SEQN,RIDAGEMN,RIDRETH1,DMDEDUC2,DMDMARTL
42051,199,4,NA,NA
42052,406,1,3,4
42053,467,1,5,1
42054,73,4,NA,NA
42055,333,1,1,6
42056,684,3,4,1
42057,447,3,3,1
42058,397,3,4,5
42059,557,3,4,1
42060,23,3,NA,NA
42061,287,1,2,3
42062,361,3,3,1
42063,34,1,NA,NA
42064,586,4,4,5
42065,714,1,3,1
42066,456,3,4,1
42067,763,3,4,1
42068,197,4,NA,NA
42069,437,3,4,1
42070,85,1,NA,NA
42071,536,3,3,1
42072,236,4,NA,NA
42073,509,1,2,6
42074,924,3,5,1
42075,559,3,3,1
42076,77,1,NA,NA
42077,594,3,3,5
42078,142,4,NA,NA
42079,NA,3,5,1
42080,193,3,NA,NA
42081,470,3,4,5
42082,401,4,4,6
42083,419,4,3,4
42084,19,4,NA,NA
42085,690,3,2,3
42086,1,5,NA,NA
42087,384,4,5,5
42088,10,1,NA,NA
42089,122,3,NA,NA
42090,6,3,NA,NA
42091,270,3,3,1
42092,13,4,NA,NA
42093,51,3,NA,NA
42094,667,4,2,3
42095,40,2,NA,NA
42096,423,5,5,1
42097,158,1,NA,NA
42098,161,4,NA,NA
42099,799,3,5,1
42100,393,2,1,5
42101,186,5,NA,NA
42102,704,4,2,1
42103,807,4,3,1
42104,856,3,4,2
42105,159,3,NA,NA
42106,559,4,5,1
42107,936,3,5,1
42108,532,3,3,1
42109,350,5,4,1
42110,635,2,2,1
42111,360,3,3,1
42112,140,3,NA,NA
42113,4,4,NA,NA
42114,46,3,NA,NA
42115,11,3,NA,NA
42116,21,1,NA,NA
42117,79,2,NA,NA
42118,280,3,1,1
42119,462,3,2,3
42120,864,5,5,2
42121,194,3,NA,NA
42122,2,3,NA,NA
42123,736,2,4,1
42124,792,4,4,3
42125,NA,4,1,1
42126,603,3,4,1
42127,731,2,2,1
42128,139,3,NA,NA
42129,137,3,NA,NA
42130,493,3,3,1
42131,337,3,3,4
42132,451,3,5,3
42133,760,1,4,1
42134,335,1,3,1
42135,608,3,2,3
42136,127,4,NA,NA
42137,468,3,4,1
42138,236,4,NA,NA
42139,222,1,NA,NA
42140,35,3,NA,NA
42141,193,4,NA,NA
42142,102,1,NA,NA
42143,637,3,2,1
42144,618,1,2,4
42145,194,3,NA,NA
42146,665,1,1,1
42147,868,1,1,2
42148,46,2,NA,NA
42149,24,3,NA,NA
42150,148,3,NA,NA
42151,384,2,2,1
42152,598,4,2,4
42153,133,4,NA,NA
42154,911,3,1,1
42155,0,1,NA,NA
42156,73,1,NA,NA
42157,809,3,5,2
42158,118,4,NA,NA
42159,518,3,5,1
42160,523,1,1,3
42161,868,3,3,3
42162,25,1,NA,NA
42163,289,2,3,6
42164,727,1,4,3
42165,813,4,1,6
42166,271,4,4,5
42167,NA,3,3,3
42168,276,2,3,5
42169,87,3,NA,NA
42170,952,3,2,1
42171,494,2,3,1
42172,853,4,3,2
42173,604,5,5,1
42174,138,4,NA,NA
42175,377,3,4,1
42176,143,4,NA,NA
42177,412,1,4,1
42178,79,3,NA,NA
42179,368,3,4,1
42180,895,3,3,1
42181,NA,3,1,1
42182,55,5,NA,NA
42183,497,3,3,5
42184,33,4,NA,NA
42185,689,3,4,5
42186,92,4,NA,NA
42187,624,4,3,2
42188,48,3,NA,NA
42189,605,1,1,1
42190,NA,3,3,1
42191,47,5,NA,NA
42192,192,4,NA,NA
42193,734,3,4,1
42194,80,4,NA,NA
42195,49,1,NA,NA
42196,112,1,NA,NA
42197,788,1,4,1
42198,322,1,4,1
42199,246,3,4,5
42200,780,3,3,1
42201,417,5,5,1
42202,371,3,5,1
42203,143,3,NA,NA
42204,205,1,NA,NA
42205,157,4,NA,NA
42206,681,1,4,1
42207,66,3,NA,NA
42208,178,1,NA,NA
42209,207,3,NA,NA
42210,306,3,2,6
42211,735,3,5,1
42212,600,3,4,1
42213,189,3,NA,NA
42214,202,3,NA,NA
42215,927,2,2,1
42216,29,3,NA,NA
42217,NA,3,3,2
42218,75,2,NA,NA
42219,225,3,NA,NA
42220,835,3,4,1
42221,55,3,NA,NA
42222,125,5,NA,NA
42223,27,4,NA,NA
42224,280,3,4,5
42225,8,1,NA,NA
42226,9,3,NA,NA
42227,150,3,NA,NA
42228,62,3,NA,NA
42229,304,4,3,5
42230,60,2,NA,NA
42231,10,4,NA,NA
42232,734,2,4,1
42233,630,2,1,5
42234,676,3,5,1
42235,53,2,NA,NA
42236,75,3,NA,NA
42237,760,5,5,1
42238,361,3,4,1
42239,707,3,5,1
42240,561,3,5,1
42241,0,1,NA,NA
42242,9,1,NA,NA
42243,135,2,NA,NA
42244,485,2,3,1
42245,214,2,NA,NA
42246,439,1,1,1
42247,82,3,NA,NA
42248,334,3,5,1
42249,428,4,4,1
42250,192,1,NA,NA
42251,520,1,1,1
42252,255,4,4,5
42253,22,2,NA,NA
42254,33,1,NA,NA
42255,818,3,3,3
42256,0,3,NA,NA
42257,239,1,NA,NA
42258,34,4,NA,NA
42259,NA,1,1,2
42260,718,3,1,1
42261,29,3,NA,NA
42262,608,3,3,1
42263,602,3,4,6
42264,131,4,NA,NA
42265,728,2,3,1
42266,37,4,NA,NA
42267,228,3,NA,NA
42268,381,3,3,1
42269,830,2,1,2
42270,7,2,NA,NA
42271,56,4,NA,NA
42272,102,4,NA,NA
42273,450,5,4,5
42274,272,2,4,5
42275,766,2,5,5
42276,806,3,2,2
42277,6,3,NA,NA
42278,54,3,NA,NA
42279,98,3,NA,NA
42280,706,3,3,5
42281,296,1,5,1
42282,112,4,NA,NA
42283,500,1,3,4
42284,615,1,1,1
42285,739,2,5,3
42286,145,3,NA,NA
42287,794,4,4,3
42288,619,2,2,1
42289,114,3,NA,NA
42290,52,1,NA,NA
42291,844,3,5,1
42292,728,3,5,1
42293,154,3,NA,NA
42294,763,1,4,3
42295,900,4,3,1
42296,NA,3,3,2
42297,786,3,3,1
42298,693,1,3,1
42299,480,4,3,6
42300,908,5,5,4
42301,153,1,NA,NA
42302,23,4,NA,NA
42303,0,1,NA,NA
42304,315,3,2,5
42305,213,3,NA,NA
42306,149,4,NA,NA
42307,795,3,3,1
42308,285,4,3,5
42309,702,1,3,1
42310,644,3,5,1
42311,813,3,4,3
42312,428,4,3,1
42313,78,4,NA,NA
42314,45,4,NA,NA
42315,398,3,4,1
42316,716,4,2,1
42317,143,1,NA,NA
42318,464,3,3,5
42319,959,4,1,2
42320,201,3,NA,NA
42321,750,3,4,2
42322,115,3,NA,NA
42323,166,4,NA,NA
42324,107,3,NA,NA
